id,age,gender,height,weight,body_fat,diastolic,systolic,grip_force,sit_bend_forward,sit_ups,broad_jump
920,40,M,173.8,73.2,12.0,80.0,148,46.9,15.0,50.0,250.0
5998,35,M,176.2,73.7,15.7,64.0,119,47.6,18.0,46.0,226.0
11457,57,M,169.2,73.5,21.7,77.0,128,49.5,14.8,39.0,206.0
2898,45,M,170.3,76.7,17.0,86.0,154,50.8,19.5,43.0,214.0
3141,28,M,171.3,68.7,11.2,99.0,145,42.7,23.2,71.0,269.0
11002,25,F,160.1,57.5,27.1,92.0,140,34.4,28.8,53.0,162.0
1988,28,F,165.2,58.5,31.6,74.0,129,30.4,26.6,33.0,164.0
509,30,F,167.2,61.0,34.3,69.0,97,29.0,20.5,41.0,170.0
9103,36,M,178.1,79.1,20.4,68.0,128,53.9,18.5,53.0,245.0
5346,30,M,182.8,76.4,8.8,72.0,132,56.3,19.6,57.0,228.0
5260,62,M,164.3,65.9,22.1,76.0,135,36.9,12.7,45.0,198.0
12323,64,F,153.4,47.4,30.9,79.0,125,21.0,23.3,18.0,127.0
6225,25,F,164.0,45.0,19.0,77.0,132,24.3,21.6,46.0,180.0
3827,34,M,169.5,70.9,18.1,96.0,125,55.0,16.4,48.0,244.0
8627,59,F,157.7,47.2,22.0,77.0,128,20.9,26.5,30.0,132.0
10025,22,F,163.8,56.2,25.4,78.0,134,24.1,23.2,50.0,195.0
7968,22,F,163.9,53.7,22.9,54.0,106,30.4,23.0,52.0,193.0
2109,44,F,167.7,56.2,11.2,69.0,118,35.1,21.5,44.0,175.0
3241,57,M,160.5,66.62,24.6,93.0,135,47.6,15.8,41.0,196.0
9949,23,F,158.0,53.1,26.4,75.0,126,25.3,26.2,36.0,172.0
9676,24,M,177.9,75.7,9.3,83.0,146,52.3,24.6,62.0,250.0
10857,38,F,159.0,53.3,25.9,70.0,132,26.9,22.5,34.0,165.0
6298,21,M,166.6,57.04,9.5,59.0,107,35.7,27.5,56.0,232.0
8006,31,M,172.9,72.9,13.1,79.0,145,44.6,17.8,63.0,240.0
3351,60,M,175.7,72.1,26.5,74.0,137,47.2,13.4,35.0,200.0
1780,38,M,186.0,94.6,16.1,98.0,159,58.8,15.0,55.0,245.0
7971,30,M,170.7,71.9,16.0,80.0,139,48.8,16.6,60.0,233.0
12036,64,F,169.0,63.7,30.4,78.0,116,29.7,22.0,27.0,140.0
1511,40,M,176.0,70.7,15.9,80.0,129,43.5,15.0,48.0,218.0
8790,23,M,169.4,60.3,11.0,67.0,126,40.4,18.0,61.0,285.0
13124,21,F,161.0,55.1,27.3,80.0,120,26.8,22.0,54.0,175.0
3988,37,M,166.2,75.6,14.8,73.0,140,47.3,17.5,49.0,246.0
4580,22,F,156.3,49.0,25.3,75.0,115,22.2,23.3,41.0,179.0
1159,35,F,158.1,65.26,38.8,92.0,141,29.2,21.0,36.0,146.0
6499,24,F,171.2,56.3,15.3,63.0,108,34.6,30.1,51.0,216.0
6527,22,M,179.8,75.4,9.7,74.0,143,52.7,19.1,60.0,246.0
9954,34,F,167.6,54.88,23.0,74.0,137,28.3,24.8,37.0,168.0
3231,27,F,163.1,61.4,31.0,68.0,106,29.4,19.5,44.0,165.0
788,21,F,160.7,49.6,28.4,88.0,132,24.6,21.1,56.0,166.0
10507,24,M,178.7,76.1,15.9,83.0,133,40.2,16.7,61.0,240.0
2040,24,F,158.4,53.7,33.9,81.0,142,22.8,19.9,40.0,162.0
9185,23,F,166.1,54.4,23.0,75.0,132,31.0,21.4,46.0,152.0
949,22,F,167.9,54.9,20.2,75.0,123,29.7,21.8,52.0,214.0
3768,57,F,156.2,53.0,26.7,76.0,132,27.3,20.1,33.0,156.0
8032,36,M,169.0,59.2,15.8,91.0,151,42.1,23.5,60.0,230.0
4347,23,F,167.2,60.3,26.1,54.0,104,25.4,30.3,47.0,198.0
12300,56,F,165.5,58.9,16.1,75.0,123,26.9,34.8,22.0,163.0
9687,26,M,182.0,81.7,13.9,98.0,155,47.0,16.9,68.0,260.0
12389,36,M,178.2,76.7,15.2,93.0,149,53.5,16.5,63.0,150.0
2067,54,M,160.7,59.7,17.2,92.0,139,41.5,19.5,51.0,206.0
5495,24,F,169.0,55.6,28.1,88.0,139,25.7,26.9,36.0,169.0
9843,28,F,162.0,58.3,25.2,90.0,132,29.4,22.5,48.0,170.0
5723,25,F,155.8,47.8,22.1,63.0,101,21.4,23.2,56.0,192.0
13341,26,F,157.1,53.4,29.7,66.0,120,26.7,18.6,35.0,160.0
8224,24,F,165.7,57.0,18.5,89.0,130,31.2,27.1,50.0,174.0
12235,47,M,171.6,80.2,20.7,80.0,120,50.0,16.0,45.0,225.0
12449,21,F,159.1,57.4,24.2,79.0,121,30.5,21.2,51.0,179.0
7985,31,M,171.0,75.8,15.8,73.0,132,67.1,19.6,57.0,243.0
1746,22,F,161.8,56.0,21.8,63.0,109,27.5,21.4,62.0,185.0
11329,60,M,173.6,57.9,13.7,87.0,147,38.3,13.5,41.0,189.0
5061,40,M,179.8,75.3,14.9,66.0,112,44.2,29.4,54.0,235.0
7753,25,M,171.9,64.9,13.8,65.0,126,45.4,20.8,57.0,234.0
10563,26,F,156.5,50.8,30.0,77.0,118,27.8,25.2,42.0,194.0
1483,33,M,177.3,75.4,12.3,85.0,144,57.5,14.6,62.0,241.0
6209,24,M,173.8,74.3,21.3,83.0,140,50.9,16.5,64.0,223.0
3653,29,F,165.0,50.5,21.0,76.0,122,34.3,31.3,40.0,200.0
11560,23,F,169.1,68.5,32.5,76.0,118,33.3,21.1,47.0,181.0
6422,47,M,169.1,66.0,17.7,75.0,114,45.5,16.3,49.0,225.0
6970,27,F,162.6,51.5,20.8,75.0,112,24.4,28.5,42.0,168.0
9535,24,F,160.3,57.2,22.7,60.0,110,28.1,19.9,37.0,192.0
2188,50,M,172.5,81.0,22.8,88.0,128,50.2,20.9,40.0,214.0
6105,22,M,178.0,70.5,19.2,99.0,140,46.6,18.2,61.0,222.0
6082,52,F,149.7,48.9,30.5,88.0,122,21.6,22.2,29.0,114.0
7511,21,M,178.4,72.2,12.3,89.0,138,50.0,22.8,63.0,230.0
8774,22,F,158.5,45.8,25.7,68.0,125,26.3,30.1,38.0,151.0
4963,24,F,160.1,56.2,28.3,75.0,115,27.4,21.7,36.0,182.0
4586,31,F,162.7,53.58,29.3,78.0,142,32.8,24.2,47.0,180.0
4153,54,M,160.4,57.1,15.7,82.0,121,45.0,24.0,55.0,208.0
7302,63,F,151.0,55.0,32.7,70.0,113,24.1,25.5,28.0,135.0
3104,25,F,170.2,58.3,24.3,87.0,138,28.2,22.7,39.0,169.0
5388,26,M,178.4,84.8,34.2,86.0,152,38.2,15.4,61.0,190.0
4565,27,F,162.5,57.0,21.5,59.0,111,26.6,29.6,50.0,182.0
5930,22,M,169.7,64.7,18.7,70.0,137,35.3,20.0,63.0,241.0
12142,26,F,157.7,51.4,19.6,71.0,111,30.1,19.5,49.0,171.0
6376,28,F,158.4,55.4,26.6,61.0,116,31.6,26.0,41.0,190.0
2465,29,M,170.7,66.4,16.5,77.0,122,48.7,17.1,55.0,230.0
1539,37,F,161.6,52.7,22.6,76.0,115,23.9,23.6,31.0,173.0
3336,28,M,175.0,64.8,17.9,78.0,136,45.9,21.7,60.0,211.0
9458,29,M,171.7,71.0,16.8,87.0,153,46.4,20.1,58.0,239.0
4286,30,F,168.3,58.0,22.9,58.0,106,30.9,18.2,52.0,190.0
7311,21,F,172.4,67.7,22.5,78.0,120,33.4,23.7,66.0,234.0
1701,21,F,161.7,55.0,22.4,64.0,109,22.9,21.6,48.0,190.0
