id,class
920,A
5998,A
11457,A
2898,A
3141,A
11002,A
1988,A
509,A
9103,A
5346,A
5260,A
12323,A
6225,A
3827,A
8627,A
10025,A
7968,A
2109,A
3241,A
9949,A
9676,A
10857,A
6298,A
8006,A
3351,A
1780,A
7971,A
12036,A
1511,A
8790,A
13124,A
3988,A
4580,A
1159,A
6499,A
6527,A
9954,A
3231,A
788,A
10507,A
2040,A
9185,A
949,A
3768,A
8032,A
4347,A
12300,A
9687,A
12389,A
2067,A
5495,A
9843,A
5723,A
13341,A
8224,A
12235,A
12449,A
7985,A
1746,A
11329,A
5061,A
7753,A
10563,A
1483,A
6209,A
3653,A
11560,A
6422,A
6970,A
9535,A
2188,A
6105,A
6082,A
7511,A
8774,A
4963,A
4586,A
4153,A
7302,A
3104,A
5388,A
4565,A
5930,A
12142,A
6376,A
2465,A
1539,A
3336,A
9458,A
4286,A
7311,A
1701,A
9317,A
3031,A
990,A
8596,A
3885,A
4342,A
715,A
2365,A
11983,A
1940,A
10137,A
5759,A
2149,A
3748,A
8636,A
4911,A
11455,A
5081,A
6990,A
6566,A
7641,A
12794,A
11059,A
7336,A
8714,A
9775,A
10197,A
9602,A
16,A
11250,A
7851,A
7350,A
8345,A
267,A
12214,A
13318,A
4323,A
12392,A
3727,A
12636,A
4238,A
9907,A
9252,A
10353,A
13359,A
7647,A
2892,A
13179,A
5951,A
5756,A
3648,A
10522,A
10671,A
7202,A
11467,A
9129,A
5892,A
2728,A
7912,A
3145,A
12846,A
1592,A
9595,A
7246,A
10105,A
1285,A
9892,A
4424,A
3526,A
2047,A
10482,A
10013,A
1800,A
10142,A
10897,A
5147,A
4710,A
4639,A
10918,A
9010,A
6081,A
8493,A
1275,A
4673,A
1034,A
13218,A
8976,A
9211,A
9897,A
6916,A
3806,A
8728,A
2570,A
10542,A
7646,A
9993,A
247,A
4740,A
10286,A
4514,A
9112,A
12638,A
12751,A
8080,A
2614,A
11133,A
11154,A
3939,A
1363,A
507,A
8108,A
6857,A
7983,A
3486,A
4598,A
7783,A
9552,A
10281,A
4125,A
7235,A
7143,A
1474,A
8503,A
8959,A
554,A
6699,A
13224,A
11343,A
203,A
6791,A
6308,A
4685,A
11609,A
4368,A
10466,A
12942,A
1772,A
9756,A
5359,A
4633,A
12011,A
9275,A
10644,A
8998,A
421,A
2001,A
13054,A
10995,A
10359,A
1383,A
8440,A
6513,A
1618,A
7954,A
10191,A
2059,A
5969,A
13306,A
7014,A
8891,A
6364,A
4435,A
1352,A
7062,A
4785,A
11164,A
4806,A
4135,A
411,A
2010,A
10525,A
10931,A
12578,A
7676,A
4213,A
7342,A
5903,A
10239,A
11408,A
13240,A
10408,A
1993,A
6131,A
12776,A
3357,A
9331,A
274,A
6490,A
566,A
9725,A
4664,A
5248,A
3180,A
387,A
6937,A
3303,A
1637,A
8356,A
5578,A
5795,A
7776,A
11316,A
10893,A
4579,A
7858,A
2321,A
10048,A
6219,A
9277,A
12604,A
2833,A
2806,A
6116,A
7719,A
6555,A
832,A
2527,A
5856,A
3133,A
13116,A
3714,A
7434,A
3126,A
8511,A
8972,A
1606,A
8457,A
12581,A
7159,A
1147,A
5229,A
11108,A
3532,A
131,A
10449,A
13140,A
8618,A
6582,A
4829,A
3852,A
8362,A
5205,A
3437,A
7128,A
8699,A
10549,A
10369,A
4398,A
11132,A
11501,A
1914,A
9164,A
11328,A
3911,A
11848,A
12820,A
12477,A
10459,A
2456,A
5146,A
4791,A
840,A
5979,A
4746,A
8237,A
489,A
1293,A
2123,A
2028,A
11426,A
7465,A
7988,A
8337,A
3189,A
10781,A
3844,A
5607,A
5615,A
1522,A
7071,A
10418,A
12184,A
3512,A
5861,A
3795,A
2402,A
9550,A
7512,A
2375,A
6347,A
1664,A
5458,A
2305,A
1997,A
11854,A
1105,A
5760,A
11198,A
932,A
2654,A
3300,A
12333,A
6098,A
4310,A
7515,A
12165,A
3330,A
2043,A
9349,A
9651,A
8316,A
816,A
2859,A
550,A
1598,A
6401,A
3948,A
11710,A
4644,A
13102,A
5104,A
1858,A
7594,A
1072,A
9460,A
4962,A
3066,A
12509,A
590,A
8194,A
12252,A
11168,A
11404,A
10262,A
13180,A
2488,A
7941,A
4724,A
7894,A
8276,A
7734,A
9409,A
12788,A
3185,A
4061,A
5780,A
3789,A
7667,A
8530,A
6964,A
1546,A
4525,A
9121,A
7182,A
572,A
9225,A
13315,A
8954,A
4786,A
11304,A
11925,A
11380,A
7341,A
2395,A
13201,A
1924,A
7142,A
12196,A
7080,A
7044,A
9175,A
9729,A
5000,A
6151,A
6351,A
7414,A
8700,A
11204,A
7428,A
9097,A
2245,A
11657,A
10446,A
9608,A
13237,A
2280,A
92,A
2267,A
8162,A
6299,A
6701,A
12161,A
6808,A
1776,A
3637,A
9574,A
4357,A
2094,A
7117,A
693,A
1719,A
12275,A
9787,A
3559,A
5586,A
781,A
622,A
4444,A
10061,A
3171,A
7808,A
6928,A
6868,A
5679,A
11165,A
12735,A
4185,A
7721,A
9622,A
3297,A
2882,A
874,A
12064,A
11141,A
9893,A
3480,A
7786,A
8828,A
11618,A
11996,A
5456,A
5596,A
4166,A
5668,A
13241,A
3212,A
4775,A
4675,A
2098,A
4136,A
8595,A
1864,A
6858,A
6519,A
2710,A
7645,A
11257,A
135,A
9405,A
8412,A
7741,A
3390,A
8429,A
6297,A
895,A
8200,A
3859,A
1548,A
9239,A
12340,A
7680,A
6735,A
5445,A
7909,A
9078,A
8842,A
3179,A
4292,A
7598,A
5655,A
9456,A
12000,A
8548,A
4616,A
6672,A
10112,A
10692,A
6557,A
9572,A
8492,A
5344,A
7883,A
11787,A
1300,A
8468,A
6159,A
151,A
1545,A
12248,A
12053,A
6477,A
1238,A
4221,A
5522,A
3285,A
5429,A
7609,A
9270,A
7237,A
10342,A
5676,A
2762,A
5530,A
6404,A
13391,A
390,A
9016,A
7877,A
4108,A
10577,A
8642,A
7185,A
6674,A
13046,A
6533,A
1561,A
8261,A
6421,A
10303,A
7839,A
6194,A
3686,A
11066,A
11291,A
2364,A
7190,A
4341,A
5351,A
12973,A
2406,A
191,A
73,A
13187,A
8282,A
9448,A
11699,A
11895,A
5016,A
10590,A
3444,A
7278,A
5783,A
4214,A
3191,A
8909,A
9210,A
888,A
6446,A
3947,A
9132,A
10836,A
3921,A
2550,A
7660,A
2378,A
2114,A
13231,A
10377,A
11319,A
5228,A
4835,A
5433,A
45,A
3680,A
3590,A
3557,A
5772,A
4378,A
9823,A
2987,A
3759,A
2202,A
9247,A
7692,A
3895,A
721,A
10265,A
11379,A
11635,A
13236,A
5639,A
214,A
11562,A
10500,A
4207,A
8738,A
700,A
11824,A
810,A
5958,A
8732,A
6971,A
11375,A
12633,A
11348,A
7125,A
1583,A
12488,A
2834,A
9682,A
3502,A
82,A
6608,A
7648,A
7346,A
8917,A
1926,A
6854,A
5881,A
12929,A
2581,A
8603,A
12019,A
5044,A
11485,A
1974,A
10911,A
4050,A
848,A
8733,A
7276,A
3703,A
1451,A
2437,A
9665,A
6130,A
6006,A
1441,A
7879,A
4489,A
9204,A
7212,A
2146,A
5547,A
6227,A
6059,A
5855,A
8960,A
9809,A
1698,A
7655,A
4121,A
8268,A
1969,A
2729,A
13136,A
11093,A
10389,A
8115,A
1667,A
8780,A
12886,A
10723,A
3135,A
9171,A
2239,A
5696,A
2353,A
2197,A
8584,A
10325,A
589,A
6472,A
6466,A
2409,A
2034,A
9214,A
6346,A
6478,A
9006,A
13368,A
6886,A
11973,A
8761,A
8580,A
7269,A
2423,A
10218,A
12209,A
6709,A
8318,A
13271,A
2398,A
11529,A
3875,A
8669,A
3773,A
8386,A
4638,A
2108,A
1045,A
11099,A
10599,A
1715,A
12282,A
1184,A
794,A
3511,A
1460,A
10755,A
4885,A
5048,A
7501,A
122,A
39,A
4084,A
1729,A
12933,A
6279,A
6976,A
2696,A
11586,A
13258,A
173,A
213,A
1747,A
8249,A
662,A
9790,A
1372,A
11828,A
4064,A
4160,A
12368,A
7867,A
4044,A
4344,A
9953,A
353,A
7771,A
7878,A
6598,A
4066,A
4894,A
9517,A
2383,A
7576,A
3926,A
6746,A
10341,A
3033,A
10082,A
704,A
12271,A
3169,A
12654,A
10520,A
3553,A
940,A
626,A
858,A
6333,A
1332,A
7164,A
7168,A
2481,A
12791,A
12895,A
1690,A
6863,A
5993,A
1726,A
661,A
8989,A
13206,A
12056,A
8474,A
9837,A
11605,A
11158,A
9819,A
8428,A
5024,A
10852,A
2528,A
9555,A
9506,A
